unique_surv_id,wa_num,drilling_event,ground_elevtn,mean_ss_tvd,mean_ss_easting,mean_ss_northing,survey_well_type,on_prod_date,last_reported_date,cum_gas_to_date_e3m3,cum_oil_to_date_m3,cum_water_to_date_m3,cum_cond_to_date_m3,n_stages,frac_start_date,frac_end_date,calc_completed_length_m,mean_proppant_per_stage_t,sd_proppant_per_stage_t,max_proppant_per_stage_t,calc_total_proppant_t,total_gas_injected_m3,mean_fluid_per_stage_m3,sd_fluid_per_stage_m3,max_fluid_per_stage_m3,calc_total_fluid_m3,avg_stage_length,avg_stage_spacing,max_rate_m3_min,mean_rate_m3_min,max_stage_duration_min,mean_stage_duration_min,max_breakdown_mpa,sd_breakdown_mpa,mean_breakdown_mpa,max_isip_mpa,sd_isip_mpa,mean_isip_mpa,fluid_intensity_comp_length_m3_m,proppant_intensity_comp_length_t_m,completed_length_m,base_fluid_cat,viscosity_cat,energizer_bool,proppant_cat,frac_duration_days,calc_proppant_intensity_kg_m,calc_fluid_intensity_m3_m,breakdown_isip_ratio,no_prior_wells,no_surrounding_wells,min_midpoint_dist,min_dist_well,horiz_wells_in_1km,horiz_wells_in_5km,horiz_wells_in_10km,horiz_wells_in_25km,first_order_residual,isotherm,paleozoic_structure,raw_montney_top,third_order_residual,seismogenic,n_quakes
29992-0,29992,0,937.5,-953.9389041,561123.3153,6312235.027,horizontal,1/1/2016,9/1/2019,75671.5,0,5490.4,6923,10,11/22/2015,12/1/2015,1847.55,168.041,23.93362184,180,1680.41,0,1427.39,319.3947486,2044.8,14273.9,119.55,161.075,11.5,10.88,194.7428571,132.0569246,52,7.973212095,38.99,48.8,6.710199533,30.27,7.725853157,0.909534248,1847.55,water,slickwater,FALSE,sand,9,909.5342481,7.725853157,1.288074001,FALSE,FALSE,237.1175806,29993-0,3,16,21,21,-67.38947152,71.74803213,-1124.218272,1852.071042,14.95589901,FALSE,0
29993-0,29993,0,937.8,-1012.057015,560835.7081,6312290.157,horizontal,1/1/2016,9/1/2019,42466.9,0,7473.5,4647,12,11/21/2015,12/5/2015,1979.625,113.8341667,52.68661767,175.11,1366.01,0,2029.725,532.0016936,2453.6,24356.7,119.625,142.4791667,11,9.375,406.1851852,227.1346597,49.1,4.303677075,38.31818182,52.3,6.89678779,36.325,12.30369388,0.690034729,1979.625,water,slickwater,FALSE,sand,14,690.0347288,12.30369388,1.0548708,FALSE,FALSE,214.9636506,31308-0,3,16,21,21,-70.21638191,72.1315372,-1122.608746,1853.977271,12.17837989,FALSE,0
29996-0,29996,0,1119.5,-1041.85947,530018.3262,6325064.619,horizontal,11/1/2014,9/1/2019,28363.5,0,5593,183,17,8/6/2014,8/7/2014,1904.823529,100.0547059,0.225558131,100.93,1700.93,0,706.4529412,90.48830116,960.3,12009.7,104.8235294,100.1764706,9.7,8.064705882,365.5882353,109.906609,51.1,2.873100395,46.92941176,34,1.362091817,30.71764706,6.304888518,0.89295936,1904.823529,water,slickwater,TRUE,sand,1,892.9593601,6.304888518,1.527767139,FALSE,FALSE,9.759180641,29754-0,2,5,14,14,-18.8081589,82.80088437,-1238.16865,2072.948739,107.2817612,FALSE,0
29997-0,29997,0,1119.4,-1141.635882,529845.4674,6324995.521,horizontal,10/1/2014,9/1/2019,23238.6,0,4383.4,420.4,18,8/3/2014,8/5/2014,1723.044444,80.77777778,29.5606168,100,1454,0,965.9777778,336.9186349,1517.8,17387.6,89.74444444,86.10555556,53.5,29.12777778,189.725,65.420817,50.3,6.851038755,35.15555556,56.2,7.756515288,37.96666667,10.09120807,0.843855192,1723.044444,water,slickwater,TRUE,sand,2,843.8551917,10.09120807,0.925958443,FALSE,FALSE,232.1909747,29754-0,1,4,11,11,-25.01164198,82.74851247,-1233.113406,2075.111217,101.1041329,FALSE,0
29999-0,29999,0,967.6,-1019.093833,536395.7067,6336347.956,horizontal,2/1/2015,9/1/2019,72807,0,8398.8,1917.2,9,1/14/2015,1/28/2015,1641.444444,171.1777778,11.13460572,175.6,1540.6,0,1561.166667,259.8343992,2029.5,14050.5,117.4444444,157.2222222,8.4,7.455555556,303.3538462,210.9298484,60.3,1.923827204,57.18888889,28.9,1.233671125,26.57777778,8.559838895,0.938563596,1641.444444,water,slickwater,TRUE,sand,14,938.5635957,8.559838895,2.151755853,FALSE,FALSE,34.14273129,30180-0,2,6,13,13,-124.995498,77.71823195,-1032.386215,1745.60075,18.2443423,FALSE,0
30018-0,30018,0,1009.3,-730.540625,556141.1348,6358321.309,horizontal,5/1/2016,9/1/2019,66622.9,0,7644.4,9460.9,51,4/28/2016,5/1/2016,1651.6,30.00392157,0.028005602,30.2,1530.2,0,227.772549,38.84271401,410.5,11616.4,0.1,32.38039216,8.4,7.160784314,63.15384615,32.020029,61,9.535245249,46.10980392,20,0.963380486,18.60980392,7.033422136,0.926495519,1651.6,water,slickwater,FALSE,sand,3,926.4955195,7.033422136,2.477715731,FALSE,FALSE,330.1093596,30020-0,4,5,5,5,-57.04313366,76.10105071,-871.7524222,1627.123612,108.7728641,FALSE,0
30019-0,30019,0,1009.3,-653.8486607,556100.5482,6358647.67,horizontal,6/1/2016,9/1/2019,72900.9,0,5288.4,6051.6,65,5/7/2016,5/9/2016,2016.1,30.05846154,0.670795309,34.9,1953.8,0,203.0523077,52.62563274,472.1,13198.4,0.1,31.01384615,8.9,7.755384615,57.57317073,26.43071281,56.2,4.274528764,49.13230769,18.8,0.576052548,17.61384615,6.54650067,0.969098755,2016.1,water,slickwater,FALSE,sand,2,969.098755,6.54650067,2.789413923,FALSE,FALSE,167.1707113,30020-0,5,6,8,8,-57.07404226,76.18091162,-870.1450129,1625.807335,109.155744,FALSE,0
30020-0,30020,0,1009.3,-728.2145872,556248.5066,6358693.457,horizontal,5/1/2016,9/1/2019,56584.7,0,12051.8,9193.4,65,5/10/2016,5/14/2016,1904.3,27.84,8.524446463,33.5,1809.6,0,359.352381,102.2541597,631.1,22639.2,0.1,29.29384615,9.1,7.959677419,92.80882353,46.97516335,57.3,8.916666906,44.38387097,40,3.996981912,23.12,11.88846295,0.950270441,1904.3,water,slickwater,FALSE,sand,4,950.2704406,11.88846295,1.919717602,FALSE,FALSE,264.1579435,29432-0,4,5,7,7,-56.40135412,76.1220863,-869.943914,1625.232363,109.6985007,FALSE,0
30046-0,30046,0,1149.1,-929.9716667,529371.4008,6347125.262,horizontal,2/1/2015,9/1/2019,132965.8,0,5520,561.1,9,2/2/2015,2/12/2015,1683.777778,166.9111111,23.53308546,178,1502.2,0,1572.322222,365.8387547,2215.9,14150.9,120.5777778,161.5666667,10.5,9.644444444,261.9480519,166.8293054,65.9,3.012658479,62.38888889,24.5,0.769920631,22.84444444,8.404256302,0.892160486,1683.777778,water,slickwater,TRUE,sand,10,892.1604857,8.404256302,2.731031128,FALSE,FALSE,14.47210768,30264-0,2,10,19,19,-130.378437,77.38485502,-993.2461198,1867.460483,40.24779831,TRUE,1
30068-0,30068,0,937.4,-1116.212778,533718.3344,6311526.498,horizontal,1/1/2015,8/1/2019,92087.8,0,4033.2,7.2,20,9/17/2014,9/22/2014,2067.025,99.001,6.63341057,118.43,1980.02,0,713.965,85.32780922,883.1,14279.3,97.525,93.5375,9.5,7.545,149.6779661,98.64959756,30.8,2.653478353,26.31,23.6,1.216141439,22.35,6.908140927,0.957908105,2067.025,water,slickwater,FALSE,sand,5,957.9081046,6.908140927,1.177181208,FALSE,FALSE,64.88734665,29179-2,1,2,10,10,-27.80832375,79.21600638,-1295.426934,1981.327674,69.16524294,FALSE,0
