"","x","y","first_order_residual","isotherm","paleozoic_structure","raw_montney_top","third_order_residual"
"1",525292.810995538,6374655.60747765,-180.405218231277,69.0674072568314,-792.768783046706,1594.45821971222,49.4837118127011
"2",525792.810995538,6374655.60747765,-185.488770295849,69.4629628805448,-785.316834838937,1590.08646907268,43.8213710687898
"3",526292.810995538,6374655.60747765,-190.628343018334,69.8381861660518,-777.80922838852,1586.41365916671,38.1029194871554
"4",526792.810995538,6374655.60747765,-195.139969576568,70.2430819125692,-770.929947871992,1584.91632881934,33.0123203728389
"5",527292.810995538,6374655.60747765,-197.46595025745,70.6943174392301,-766.2367108553,1586.46747222574,30.1072699945847
"6",527792.810995538,6374655.60747765,-196.24473450801,71.1840703766664,-765.091032924201,1590.48752974936,30.7493282622237
"7",528292.810995538,6374655.60747765,-190.396488324285,71.672751269738,-768.572779475541,1596.1974039138,36.0183224532109
"8",528792.810995538,6374655.60747765,-180.639489032889,72.1249838052399,-775.963662997811,1602.29871839548,45.195978610342
"9",529292.810995538,6374655.60747765,-168.217605186609,72.5017079249063,-786.019793969952,1608.07518153221,57.0384339333143
"10",529792.810995538,6374655.60747765,-153.942852368905,72.7963919590341,-797.929202259093,1613.11054290886,70.7336630938729
"11",530292.810995538,6374655.60747765,-139.020178383724,72.9986540958375,-810.48690180028,1617.22691481414,85.0767280890188
"12",530792.810995538,6374655.60747765,-124.538628063166,73.098713538202,-822.603847828301,1620.12330944324,98.97858483963
"13",531292.810995538,6374655.60747765,-112.286782300219,73.1026212124294,-832.491497926593,1621.25367014956,110.650644639473
"14",531792.810995538,6374655.60747765,-103.993951264309,73.0027088163692,-838.420496601363,1620.66698638678,118.363608410649
"15",532292.810995538,6374655.60747765,-98.994617973414,72.8083665086417,-841.056381978241,1618.33196926677,122.782989221224
"16",532792.810995538,6374655.60747765,-95.5315841719467,72.5355786006119,-842.156362715724,1614.42373419093,125.665983970562
